hhid,mrt24mnth,mrtdod_m1,mrtdod_y1,mrtdod_m2,mrtdod_y2,toishr,enrgelec,refrem,empl,rent,grn,tinc,ownrad,ownhif,owntel,ownsat,ownvid,owncom,owncam,owncel,ownelestv,owngasstv,ownparstv,ownmic,ownfrg,ownwsh,ownvehpri,mrtage1,mrtage2,dwltyp,watsrc,watdis,toi,enrgck,enrght,enrglght,tinc_brac1,tinc_brac2,tinc_brac3,tinc_brac4,tinc_brac5,tinc_brac6,tellnd,prov,geo
500112,No,,,,,No,Yes,No,No,No,Yes,8000.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,,,1.0,1.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500113,Yes,September,2015.0,,,No,No,Yes,Yes,No,No,9000.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,71.0,,1.0,1.0,,3.0,1.0,1.0,2.0,,,,,,,,5.0,3
500114,No,,,,,Yes,Yes,No,Yes,No,Yes,900.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,2.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,5.0,1
500115,No,,,,,No,Yes,Yes,Yes,No,No,688.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,1.0,1.0,,2.0,1.0,5.0,1.0,,,,,,,3.0,3.0,3
500116,No,,,,,No,Yes,Yes,Yes,Yes,No,6000.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,1.0,1.0,3
500119,No,,,,,Yes,No,Yes,No,No,No,0.0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,7.0,3.0,1.0,2.0,1.0,11.0,1.0,,,,,,,3.0,5.0,3
500121,No,,,,,No,Yes,Yes,Yes,No,Yes,1980.0,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,2.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,7.0,3
500122,No,,,,,No,Yes,No,No,No,No,500.0,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,,,1.0,11.0,5.0,5.0,1.0,11.0,1.0,,,,,,,3.0,2.0,2
500124,Yes,February,2015.0,,,No,Yes,No,Yes,No,Yes,3800.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,63.0,,1.0,2.0,,4.0,5.0,1.0,1.0,,,,,,,3.0,9.0,2
500125,No,,,,,No,Yes,Yes,No,No,No,8000.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500126,No,,,,,Yes,Yes,Yes,Yes,No,Yes,2000.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500127,No,,,,,Yes,Yes,Yes,Yes,No,No,2900.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,3
500128,No,,,,,No,Yes,No,No,No,Yes,5000.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
500129,No,,,,,No,Yes,Yes,Yes,No,Yes,9850.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500130,No,,,,,No,Yes,Yes,Yes,No,Yes,10000.0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3
500131,No,,,,,No,Yes,Yes,No,No,Yes,2400.0,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,2.0,,2.0,1.0,4.0,1.0,,,,,,,3.0,2.0,3
